domain,schdomain,ukdomain,county,urns
194.128.19.70,0,0,,{109478}
195.173.130.83,0,0,,{103942}
3dimensions.org.uk,0,1,,{134909}
3lxschool.com,0,0,,{142512}
448-northumberland.eschools.co.uk,0,1,,{122254}
5pfl.com,0,0,,{133554}
9312597-public.sharepoint.com,0,0,,{139755}
aan.norfolk.sch.uk,1,1,norfolk,{140534}
aatjewell.org,0,0,,{139692}
aatmagna.org,0,0,,{139711}
abacus-cfbt.org,0,0,,{139837}
abacuscollege.co.uk,0,1,,{138363}
abacusprimaryschool.co.uk,0,1,,{133312}
abbastemplecombe.co.uk,0,1,,{123775}
abberleyhall.co.uk,0,1,,{117011}
abberley.worcs.sch.uk,1,1,worcs,{116780}
abbeyceacademy.co.uk,0,1,,{140190}
abbeycofeinfants.ik.org,0,0,,{125654}
abbeycollege.cambs.sch.uk,1,1,cambs,{137377}
abbeycourt.medway.sch.uk,1,1,medway,{119052}
abbeydalegrange.sheffield.sch.uk,1,1,sheffield,{107137}
abbeyfed.darlington.sch.uk,1,1,darlington,"{136988,136989}"
abbeyfederation.co.uk,0,1,,"{103929,103930}"
abbeyfield.northants.sch.uk,1,1,northants,{122077}
abbeyfieldschool.org.uk,0,1,,{138858}
abbeyfields.firstschool.org.uk,0,1,,"{122245,144181}"
abbeyfield.wilts.sch.uk,1,1,wilts,{131969}
abbeygatesprimaryschool.co.uk,0,1,,{122659}
abbeygrangeacademy.co.uk,0,1,,{137083}
abbeygrangeschool.co.uk,0,1,,{108101}
abbeygreen.org,0,0,,{107188}
abbey.herts.sch.uk,1,1,herts,{117449}
abbeyheyprimary.org.uk,0,1,,{139404}
abbeyhillprimaryandnurseryschool.co.uk,0,1,,{136006}
abbeyhill.stockton.sch.uk,1,1,stockton,{111787}
abbeyhill.stoke.sch.uk,1,1,stoke,{124500}
abbeyhultonprimary.org.uk,0,1,,{123989}
abbey.kent.sch.uk,1,1,kent,{118831}
abbeylaneprimaryschool.com,0,0,,{106982}
abbey.leicester.sch.uk,1,1,leicester,{120063}
abbeymanorcollege.com,0,0,,{130856}
abbeymead.gloucs.sch.uk,1,1,gloucs,{115601}
abbeymeads.swindon.sch.uk,1,1,swindon,{131573}
abbeymiddleschool.co.uk,0,1,,{109654}
abbeyparkacademy.org,0,0,,{140172}
abbeyparkfirstandnurseryschool.co.uk,0,1,,{116716}
abbeyparkmiddle.worcs.sch.uk,1,1,worcs,{116774}
abbeyparkprimary.org.uk,0,1,,{107498}
abbeyprimary.co.uk,0,1,,{121916}
abbeyprimaryschool.co.uk,0,1,,{133280}
abbeyrc.bham.sch.uk,1,1,bham,{103422}
abbeyroadprimary.co.uk,0,1,,{122599}
abbeyschoolfaversham.co.uk,0,1,,{137154}
abbeyschool.org.uk,0,1,,{113850}
abbeysprimary.milton-keynes.sch.uk,1,1,milton-keynes,{110401}
abbey.surrey.sch.uk,1,1,surrey,{125476}
abbey.sutton.sch.uk,1,1,sutton,{102967}
abbeyvillage.lancs.sch.uk,1,1,lancs,{119307}
abbey.walsall.sch.uk,1,1,walsall,{104168}
abbeywoodnurseryschool.co.uk,0,1,,{100099}
abbeywoodsacademy.oxon.sch.uk,1,1,oxon,{139709}
abbeywoodschool.com,0,0,,"{109295,139067}"
abbeywood.worcs.sch.uk,1,1,worcs,"{131275,142541}"
abblanch.com,0,0,,{104705}
abbotbeyne.staffs.sch.uk,1,1,staffs,{124449}
abbotsbury.merton.sch.uk,1,1,merton,{102649}
abbotsfarm.co.uk,0,1,,{125580}
abbotsfarm-inf.org,0,0,,{125573}
abbotsfield.hillingdon.sch.uk,1,1,hillingdon,{102449}
abbotsfordschool.org,0,0,,{126168}
abbotsgreen.co.uk,0,1,,{134362}
abbots-hall.co.uk,0,1,,{139605}
abbotshall.suffolk.sch.uk,1,1,suffolk,{124631}
abbotshill.herts.sch.uk,1,1,herts,{117600}
abbotskerswell-primary.devon.sch.uk,1,1,devon,{113183}
abbotslangley.herts.sch.uk,1,1,herts,{117083}
abbotsmede.peterborough.sch.uk,1,1,peterborough,{110779}
abbotsweld.essex.sch.uk,1,1,essex,{115003}
abbotswood.hants.sch.uk,1,1,hants,{116482}
abbotswoodprimary.org.uk,0,1,,{132199}
abbott.manchester.sch.uk,1,1,manchester,{105387}
abbottsann.hants.sch.uk,1,1,hants,{116266}
abbscross.havering.sch.uk,1,1,havering,{102352}
abbscross.net,0,0,,{136663}
abelsmith.herts.sch.uk,1,1,herts,{117111}
abercrombie.derbyshire.sch.uk,1,1,derbyshire,{112670}
aberdourschool.co.uk,0,1,,{125317}
aberfordprimaryschool.co.uk,0,1,,{107985}
abhps.com,0,0,,{135867}
abingdonhouseschool.co.uk,0,1,,{134911}
abingdon.org.uk,0,1,,{123312}
abingdonprimary.org.uk,0,1,,{131519}
abingdon.stockport.sch.uk,1,1,stockport,{106074}
abingercommon.org.uk,0,1,,{124934}
abington.leics.sch.uk,1,1,leics,{120311}
abingtonvaleprimary.ik.org,0,0,,{121923}
abingtonvaleprimary.org.uk,0,1,,{138952}
abkettleby.leics.sch.uk,1,1,leics,{140696}
aboyne.herts.sch.uk,1,1,herts,{117141}
abprimary.bham.sch.uk,1,1,bham,{140889}
abrahamdarbyacademy.org.uk,0,1,,{135582}
abrahamdarbyschool.taw.org.uk,0,1,,{123596}
abrahamguestacademy.com,0,0,,{137210}
abrahamguest.wigan.sch.uk,1,1,wigan,{106526}
abrahammoss.manchester.sch.uk,1,1,manchester,{105560}
abramsaintjohns.wigan.sch.uk,1,1,wigan,{141641}
abram.wigan.sch.uk,1,1,wigan,{106469}
acacias.manchester.sch.uk,1,1,manchester,{105401}
academy360.co.uk,0,1,,{135622}
academyatworden.co.uk,0,1,,{139290}
acb.beds.sch.uk,1,1,beds,{139411}
accrington-academy.org,0,0,,{135649}
acesch.co.uk,0,1,,{139328}
aceschools.net,0,0,,"{136155,142835}"
achievingaspirations.co.uk,0,1,,{141492}
acklamgrange.org.uk,0,1,,{111751}
acklam.outwood.com,0,0,,{139823}
acklamwhin.co.uk,0,1,,{111586}
acklington.northumberland.sch.uk,1,1,northumberland,{122270}
acktonpastures.com,0,0,,"{144331,108241}"
aclandburghley.camden.sch.uk,1,1,camden,{100053}
acle.norfolk.sch.uk,1,1,norfolk,"{121213,138758}"
acleprimary.norfolk.sch.uk,1,1,norfolk,{121024}
acocksgreen.bham.sch.uk,1,1,bham,"{139443,134280}"
acocksgreen-jun.bham.sch.uk,1,1,bham,{103151}
acomb.northumberland.sch.uk,1,1,northumberland,{122170}
acombprimary.org.uk,0,1,,{121271}
aconburycentre.co.uk,0,1,,{130992}
acornacademycornwall.org.uk,0,1,,{139745}
acornacademy.org,0,0,,"{141525,141524,141523,141527}"
acorncare.co.uk,0,1,,{137098}
acornfederation.co.uk,0,1,,"{113427,113439}"
acornhousecollege.com,0,0,,{131982}
acorns.lancs.sch.uk,1,1,lancs,{135347}
acornsprimary.co.uk,0,1,,"{141280,130873}"
acorns.surrey.sch.uk,1,1,surrey,{125134}
