2012-01-02,Substitute day,New Year’s Day
2012-04-06,,Good Friday
2012-04-09,,Easter Monday
2012-05-07,,Early May bank holiday
2012-06-04,Substitute day,Spring bank holiday
2012-06-05,Extra bank holiday,Queen’s Diamond Jubilee
2012-08-27,,Summer bank holiday
2012-12-25,,Christmas Day
2012-12-26,,Boxing Day
2013-01-01,,New Year’s Day
2013-03-29,,Good Friday
2013-04-01,,Easter Monday
2013-05-06,,Early May bank holiday
2013-05-27,,Spring bank holiday
2013-08-26,,Summer bank holiday
2013-12-25,,Christmas Day
2013-12-26,,Boxing Day
2014-01-01,,New Year’s Day
2014-04-18,,Good Friday
2014-04-21,,Easter Monday
2014-05-05,,Early May bank holiday
2014-05-26,,Spring bank holiday
2014-08-25,,Summer bank holiday
2014-12-25,,Christmas Day
2014-12-26,,Boxing Day
2015-01-01,,New Year’s Day
2015-04-03,,Good Friday
2015-04-06,,Easter Monday
2015-05-04,,Early May bank holiday
2015-05-25,,Spring bank holiday
2015-08-31,,Summer bank holiday
2015-12-25,,Christmas Day
2015-12-28,Substitute day,Boxing Day
2016-01-01,,New Year’s Day
2016-03-25,,Good Friday
2016-03-28,,Easter Monday
2016-05-02,,Early May bank holiday
2016-05-30,,Spring bank holiday
2016-08-29,,Summer bank holiday
2016-12-26,,Boxing Day
2016-12-27,Substitute day,Christmas Day
2017-01-02,Substitute day,New Year’s Day
2017-04-14,,Good Friday
2017-04-17,,Easter Monday
2017-05-01,,Early May bank holiday
2017-05-29,,Spring bank holiday
2017-08-28,,Summer bank holiday
2017-12-25,,Christmas Day
2017-12-26,,Boxing Day
2018-01-01,,New Year’s Day
2018-03-30,,Good Friday
2018-04-02,,Easter Monday
2018-05-07,,Early May bank holiday
2018-05-28,,Spring bank holiday
2018-08-27,,Summer bank holiday
2018-12-25,,Christmas Day
2018-12-26,,Boxing Day
